sort.v2024,species_code,Clements.v2024b.change,text.for.website.v2024b,category,English.name,scientific.name,range,order,family,extinct,extinct.year,sort_v2023,canada_ak_conus
28,rheida1,sequence,Modify linear sequence such that the Rheiformes/Tinamiformes clade follows Apterygidae,family,Rheas,Rheidae,NA,Rheiformes,Rheidae (Rheas),NA,NA,9,FALSE
35,lesrhe2,NA,NA,species,Lesser Rhea,Rhea pennata,NA,Rheiformes,Rheidae (Rheas),NA,NA,16,FALSE
155,rewtin1,NA,NA,species,Red-winged Tinamou,Rhynchotus rufescens,NA,Tinamiformes,Tinamidae (Tinamous),NA,NA,136,FALSE
231,wfwduc1,NA,NA,species,White-faced Whistling-Duck,Dendrocygna viduata,"Africa, Madagascar, and Comoros; disjunctly Costa Rica to Brazil",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,231,FALSE
233,bbwduc,NA,NA,species,Black-bellied Whistling-Duck,Dendrocygna autumnalis,NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,233,TRUE
237,wiwduc1,NA,NA,species,West Indian Whistling-Duck,Dendrocygna arborea,"Bahamas, Greater Antilles, and northern Lesser Antilles",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,236,FALSE
239,fuwduc,NA,NA,species,Fulvous Whistling-Duck,Dendrocygna bicolor,"eastern Africa, Madagascar, and southern Asia; disjunctly southern USA to Argentina",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,238,TRUE
248,lewduc1,NA,NA,species,Lesser Whistling-Duck,Dendrocygna javanica,Indian subcontinent to southeastern Asia and Greater Sundas,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,247,FALSE
251,whistl1,NA,NA,spuh,whistling-duck sp.,Dendrocygna sp.,NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,250,FALSE
255,bahgoo,NA,NA,species,Bar-headed Goose,Anser indicus,alpine lakes in central Asia; winters to India and Myanmar,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,254,FALSE
